date,state,cases
2020-03-01,Alabama,0
2020-03-01,Alaska,0
2020-03-01,Arizona,1
2020-03-01,Arkansas,0
2020-03-01,California,19
2020-03-01,Colorado,0
2020-03-01,Connecticut,0
2020-03-01,Delaware,0
2020-03-01,Florida,0
2020-03-01,Georgia,0
2020-03-01,Hawaii,0
2020-03-01,Idaho,0
2020-03-01,Illinois,3
2020-03-01,Indiana,0
2020-03-01,Iowa,0
2020-03-01,Kansas,0
2020-03-01,Kentucky,0
2020-03-01,Louisiana,0
2020-03-01,Maine,0
2020-03-01,Maryland,0
2020-03-01,Massachusetts,3
2020-03-01,Michigan,0
2020-03-01,Minnesota,0
2020-03-01,Mississippi,0
2020-03-01,Missouri,0
2020-03-01,Montana,0
2020-03-01,Nebraska,0
2020-03-01,Nevada,0
2020-03-01,New Hampshire,0
2020-03-01,New Jersey,0
2020-03-01,New Mexico,0
2020-03-01,New York,0
2020-03-01,North Carolina,0
2020-03-01,North Dakota,0
2020-03-01,Ohio,0
2020-03-01,Oklahoma,0
2020-03-01,Oregon,1
2020-03-01,Pennsylvania,0
2020-03-01,Rhode Island,1
2020-03-01,South Carolina,0
2020-03-01,South Dakota,0
2020-03-01,Tennessee,0
2020-03-01,Texas,0
2020-03-01,Utah,0
2020-03-01,Vermont,0
2020-03-01,Virginia,0
2020-03-01,Washington,11
2020-03-01,West Virginia,0
2020-03-01,Wisconsin,0
2020-03-01,Wyoming,0
2020-03-02,Alabama,0
2020-03-02,Alaska,0
2020-03-02,Arizona,1
2020-03-02,Arkansas,0
2020-03-02,California,23
2020-03-02,Colorado,0
2020-03-02,Connecticut,0
2020-03-02,Delaware,0
2020-03-02,Florida,1
2020-03-02,Georgia,0
2020-03-02,Hawaii,0
2020-03-02,Idaho,0
2020-03-02,Illinois,4
2020-03-02,Indiana,0
2020-03-02,Iowa,0
2020-03-02,Kansas,0
2020-03-02,Kentucky,0
2020-03-02,Louisiana,0
2020-03-02,Maine,0
2020-03-02,Maryland,0
2020-03-02,Massachusetts,3
2020-03-02,Michigan,0
2020-03-02,Minnesota,0
2020-03-02,Mississippi,0
2020-03-02,Missouri,0
2020-03-02,Montana,0
2020-03-02,Nebraska,0
2020-03-02,Nevada,0
2020-03-02,New Hampshire,1
2020-03-02,New Jersey,0
2020-03-02,New Mexico,0
2020-03-02,New York,0
2020-03-02,North Carolina,1
2020-03-02,North Dakota,0
2020-03-02,Ohio,0
2020-03-02,Oklahoma,0
2020-03-02,Oregon,3
2020-03-02,Pennsylvania,0
2020-03-02,Rhode Island,2
2020-03-02,South Carolina,0
2020-03-02,South Dakota,0
2020-03-02,Tennessee,0
2020-03-02,Texas,0
2020-03-02,Utah,0
2020-03-02,Vermont,0
2020-03-02,Virginia,0
2020-03-02,Washington,18
2020-03-02,West Virginia,0
2020-03-02,Wisconsin,0
2020-03-02,Wyoming,0
2020-03-03,Alabama,0
2020-03-03,Alaska,0
2020-03-03,Arizona,1
2020-03-03,Arkansas,0
2020-03-03,California,29
2020-03-03,Colorado,0
2020-03-03,Connecticut,0
2020-03-03,Delaware,0
2020-03-03,Florida,2
2020-03-03,Georgia,2
2020-03-03,Hawaii,0
2020-03-03,Idaho,0
2020-03-03,Illinois,4
2020-03-03,Indiana,0
2020-03-03,Iowa,0
2020-03-03,Kansas,0
2020-03-03,Kentucky,0
2020-03-03,Louisiana,0
2020-03-03,Maine,0
2020-03-03,Maryland,0
2020-03-03,Massachusetts,4
2020-03-03,Michigan,0
2020-03-03,Minnesota,0
2020-03-03,Mississippi,0
2020-03-03,Missouri,1
2020-03-03,Montana,0
2020-03-03,Nebraska,0
2020-03-03,Nevada,0
2020-03-03,New Hampshire,2
2020-03-03,New Jersey,0
2020-03-03,New Mexico,0
2020-03-03,New York,1
2020-03-03,North Carolina,1
2020-03-03,North Dakota,0
2020-03-03,Ohio,0
2020-03-03,Oklahoma,0
2020-03-03,Oregon,3
2020-03-03,Pennsylvania,0
2020-03-03,Rhode Island,2
2020-03-03,South Carolina,0
2020-03-03,South Dakota,0
2020-03-03,Tennessee,0
2020-03-03,Texas,0
2020-03-03,Utah,0
2020-03-03,Vermont,0
2020-03-03,Virginia,0
2020-03-03,Washington,27
2020-03-03,West Virginia,0
2020-03-03,Wisconsin,0
2020-03-03,Wyoming,0
2020-03-04,Alabama,0
2020-03-04,Alaska,0
2020-03-04,Arizona,1
2020-03-04,Arkansas,0
2020-03-04,California,40
2020-03-04,Colorado,0
2020-03-04,Connecticut,0
2020-03-04,Delaware,0
2020-03-04,Florida,2
2020-03-04,Georgia,2
2020-03-04,Hawaii,0
2020-03-04,Idaho,0
2020-03-04,Illinois,4
2020-03-04,Indiana,0
2020-03-04,Iowa,0
2020-03-04,Kansas,0
2020-03-04,Kentucky,0
2020-03-04,Louisiana,0
2020-03-04,Maine,0
